epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.393,3.24405,5.92348,2.90516,0.00044,0.1,0.00027,0.00011,2.82043,8.29896,2.62753,0.000548972,0.000548972,0.000548972
2,83.7934,3.15392,5.34217,2.7729,0.00062,0.13333,0.00067,0.00017,3.19548,7.25555,2.69269,0.00108277,0.00108277,0.00108277
3,128.667,3.11645,4.96474,2.6065,0.00077,0.23333,0.00238,0.00068,3.01125,6.48229,2.54213,0.00159456,0.00159456,0.00159456
4,168.744,3.18585,4.94642,2.55174,0.0008,0.16667,0.00084,0.00023,3.23594,6.33006,2.61787,0.00156798,0.00156798,0.00156798
5,213.29,3.08451,5.10947,2.5043,0.00061,0.13333,0.00104,0.00018,3.38316,6.46223,2.8888,0.00153497,0.00153497,0.00153497
6,257.646,3.11187,4.73628,2.56442,0.00073,0.23333,0.03456,0.00704,3.3403,6.34775,2.86886,0.00150197,0.00150197,0.00150197
7,298.784,3.05661,4.59422,2.50419,0.51031,0.1,0.01058,0.00147,3.33483,6.57128,2.86324,0.00146896,0.00146896,0.00146896
8,339.421,3.07126,4.58728,2.46093,0.00113,0.26667,0.00522,0.00114,3.08927,5.5405,2.61878,0.00143595,0.00143595,0.00143595
9,381.603,2.95117,4.53518,2.3573,0.00127,0.3,0.0049,0.00108,3.26062,4.98597,2.71906,0.00140295,0.00140295,0.00140295
10,424.82,3.09353,4.47176,2.49357,0.00097,0.33333,0.00743,0.00193,3.06222,5.44246,2.56027,0.00136994,0.00136994,0.00136994
11,469.731,3.05806,4.31824,2.53208,0.00118,0.4,0.00176,0.00061,3.03784,6.02419,2.56577,0.00133693,0.00133693,0.00133693
12,513.328,2.92979,4.40749,2.45012,0.0009,0.26667,0.00199,0.00065,3.12998,5.05952,2.8008,0.00130393,0.00130393,0.00130393
13,556.46,2.98197,4.11903,2.50628,0.00096,0.36667,0.0014,0.00057,3.23886,5.99273,2.82341,0.00127092,0.00127092,0.00127092
14,597.692,3.01557,4.18812,2.50204,0.00113,0.36667,0.0028,0.0011,3.1093,4.63593,2.71573,0.00123791,0.00123791,0.00123791
15,640.456,2.99959,4.09222,2.48217,0.00122,0.4,0.00587,0.00194,3.05396,5.18385,2.57881,0.00120491,0.00120491,0.00120491
16,682.13,2.85017,4.10597,2.38193,0.00107,0.4,0.00371,0.00122,3.20509,5.99241,2.70446,0.0011719,0.0011719,0.0011719
17,722.639,2.97809,4.00922,2.41942,0.00111,0.4,0.00319,0.00112,3.27427,5.14875,2.78667,0.00113889,0.00113889,0.00113889
18,769.187,2.88294,4.06227,2.36009,0.00126,0.43333,0.00674,0.00147,3.13593,5.41892,2.50846,0.00110589,0.00110589,0.00110589
19,815.591,3.02085,3.96418,2.45626,0.00118,0.4,0.00749,0.00186,3.19658,4.71094,2.62676,0.00107288,0.00107288,0.00107288
20,858.862,2.95006,3.97267,2.44733,0.00108,0.4,0.03912,0.01399,3.003,5.39979,2.45571,0.00103987,0.00103987,0.00103987
21,899.35,2.92859,4.00677,2.3601,0.00093,0.3,0.00784,0.00265,3.10933,4.407,2.60103,0.00100687,0.00100687,0.00100687
22,941.097,3.01576,3.83069,2.4511,0.00106,0.36667,0.0177,0.0056,3.12227,4.28414,2.7321,0.000973861,0.000973861,0.000973861
23,984.205,2.93753,3.85382,2.42978,0.00095,0.36667,0.00286,0.00114,3.04869,4.78326,2.63365,0.000940855,0.000940855,0.000940855
24,1027.53,2.79986,3.89459,2.37192,0.00094,0.33333,0.00372,0.00116,3.08637,4.88098,2.65848,0.000907848,0.000907848,0.000907848
25,1072.63,2.84514,3.87674,2.36832,0.00107,0.36667,0.01638,0.00607,3.10525,4.4174,2.65912,0.000874842,0.000874842,0.000874842
26,1115.69,2.92365,3.90479,2.45638,0.00099,0.36667,0.01786,0.00543,3.05894,4.39715,2.64288,0.000841835,0.000841835,0.000841835
